# CSV-File created with merge-csv.com
# -----------------------------------------------------------

DesignName,ParticipantID,TrialID,Block1,OC,VV,Time,errorCount
Preattentive,4,123,4,Medium,Size,7470,0
Preattentive,4,124,4,Medium,Size,8510,0
Preattentive,4,125,5,High,Colour,8830,0
Preattentive,4,126,5,High,Colour,8250,0
Preattentive,4,127,5,High,Colour,7870,0
Preattentive,4,128,5,High,Colour,10260,0
Preattentive,4,129,6,High,Size,9630,0
Preattentive,4,130,6,High,Size,10770,0
Preattentive,4,131,6,High,Size,12190,0
Preattentive,4,132,6,High,Size,12830,0
Preattentive,4,133,7,High,Colour_and_Size,58210,0
Preattentive,4,134,7,High,Colour_and_Size,34000,0
Preattentive,4,135,7,High,Colour_and_Size,94630,0
Preattentive,4,136,7,High,Colour_and_Size,42450,0
Preattentive,4,137,8,Medium,Colour,16420,0
Preattentive,4,138,8,Medium,Colour,15390,0
Preattentive,4,139,8,Medium,Colour,16240,0
Preattentive,4,140,8,Medium,Colour,17770,0
Preattentive,4,141,9,Low,Size,17670,0
Preattentive,4,142,9,Low,Size,17670,0
Preattentive,4,143,9,Low,Size,25650,0
Preattentive,4,144,9,Low,Size,20410,0
Preattentive,5,145,1,Low,Size,580,0
Preattentive,5,146,1,Low,Size,1280,0
Preattentive,5,147,1,Low,Size,1350,0
Preattentive,5,148,1,Low,Size,2160,0
Preattentive,5,149,2,Medium,Colour,3380,1
Preattentive,5,150,2,Medium,Colour,3380,0
Preattentive,5,151,2,Medium,Colour,4500,0
Preattentive,5,152,2,Medium,Colour,6360,0
Preattentive,5,153,3,High,Colour,4990,0
Preattentive,5,154,3,High,Colour,5380,0
Preattentive,5,155,3,High,Colour,5880,0
Preattentive,5,156,3,High,Colour,6580,0
Preattentive,5,157,4,Medium,Colour_and_Size,28900,0
Preattentive,5,158,4,Medium,Colour_and_Size,41790,1
Preattentive,5,159,4,Medium,Colour_and_Size,56820,0
Preattentive,5,160,4,Medium,Colour_and_Size,12270,0
Preattentive,5,161,5,High,Size,33570,0
Preattentive,5,162,5,High,Size,10760,0
Preattentive,5,163,5,High,Size,11400,0
Preattentive,5,164,5,High,Size,10110,0
Preattentive,5,165,6,High,Colour_and_Size,33220,0
Preattentive,5,166,6,High,Colour_and_Size,36460,0
Preattentive,5,167,6,High,Colour_and_Size,34310,0
Preattentive,5,168,6,High,Colour_and_Size,55280,0
Preattentive,5,169,7,Low,Colour,31460,0
Preattentive,5,170,7,Low,Colour,17370,0
Preattentive,5,171,7,Low,Colour,19370,1
Preattentive,5,172,7,Low,Colour,17490,0
Preattentive,5,173,8,Medium,Size,20950,0
Preattentive,5,174,8,Medium,Size,29740,0
Preattentive,5,175,8,Medium,Size,28620,0
Preattentive,5,176,8,Medium,Size,27350,0
Preattentive,5,177,9,Low,Colour_and_Size,87280,0
Preattentive,5,178,9,Low,Colour_and_Size,74810,0
Preattentive,5,179,9,Low,Colour_and_Size,48330,0
Preattentive,5,180,9,Low,Colour_and_Size,72960,0
Preattentive,6,181,1,Low,Colour_and_Size,2990,0
Preattentive,6,182,1,Low,Colour_and_Size,6130,0
Preattentive,6,183,1,Low,Colour_and_Size,6380,0
Preattentive,6,184,1,Low,Colour_and_Size,10030,0
Preattentive,6,185,2,Medium,Size,3770,0
Preattentive,6,186,2,Medium,Size,3290,0
Preattentive,6,187,2,Medium,Size,4890,0
Preattentive,6,188,2,Medium,Size,3630,0
Preattentive,6,189,3,High,Size,6930,0
Preattentive,6,190,3,High,Size,4750,0
Preattentive,6,191,3,High,Size,8080,0
Preattentive,6,192,3,High,Size,7520,0
Preattentive,6,193,4,High,Colour,7210,0
Preattentive,6,194,4,High,Colour,7820,0
Preattentive,6,195,4,High,Colour,7470,0
Preattentive,6,196,4,High,Colour,9550,0
Preattentive,6,197,5,High,Colour_and_Size,42930,0
Preattentive,6,198,5,High,Colour_and_Size,41490,0
Preattentive,6,199,5,High,Colour_and_Size,39930,0
Preattentive,6,200,5,High,Colour_and_Size,38550,0
Preattentive,6,201,6,Low,Colour,14290,0
Preattentive,6,202,6,Low,Colour,14860,0
Preattentive,6,203,6,Low,Colour,15680,0
Preattentive,6,204,6,Low,Colour,10380,0
Preattentive,6,205,7,Low,Size,12330,0
Preattentive,6,206,7,Low,Size,12420,0
Preattentive,6,207,7,Low,Size,14840,0
Preattentive,6,208,7,Low,Size,10020,0
Preattentive,6,209,8,Medium,Colour_and_Size,56480,0
Preattentive,6,210,8,Medium,Colour_and_Size,20680,0
Preattentive,6,211,8,Medium,Colour_and_Size,91140,0
Preattentive,6,212,8,Medium,Colour_and_Size,24860,0
Preattentive,6,213,9,Medium,Colour,20250,0
Preattentive,6,214,9,Medium,Colour,21040,0
Preattentive,6,215,9,Medium,Colour,15340,0
Preattentive,6,216,9,Medium,Colour,20320,0
Preattentive,7,217,1,Medium,Colour,880,0
Preattentive,7,218,1,Medium,Colour,3450,0
Preattentive,7,219,1,Medium,Colour,1700,0
Preattentive,7,220,1,Medium,Colour,1270,0
Preattentive,7,221,2,Medium,Colour_and_Size,7260,1
Preattentive,7,222,2,Medium,Colour_and_Size,10170,1
Preattentive,7,223,2,Medium,Colour_and_Size,20340,0
Preattentive,7,224,2,Medium,Colour_and_Size,40130,0
Preattentive,7,225,3,High,Colour_and_Size,13310,1
Preattentive,7,226,3,High,Colour_and_Size,15640,0
Preattentive,7,227,3,High,Colour_and_Size,42690,0
Preattentive,7,228,3,High,Colour_and_Size,38640,0
Preattentive,7,229,4,High,Size,19230,0
Preattentive,7,230,4,High,Size,18250,0
Preattentive,7,231,4,High,Size,14050,0
Preattentive,7,232,4,High,Size,22570,0
Preattentive,7,233,5,Low,Colour,20880,0
Preattentive,7,234,5,Low,Colour,23880,0
Preattentive,7,235,5,Low,Colour,19710,0
Preattentive,7,236,5,Low,Colour,19330,0
Preattentive,7,237,6,Low,Size,24590,0
Preattentive,7,238,6,Low,Size,27810,0
Preattentive,7,239,6,Low,Size,20310,0
Preattentive,7,240,6,Low,Size,23220,0
Preattentive,7,241,7,Low,Colour_and_Size,58800,1
Preattentive,7,242,7,Low,Colour_and_Size,24180,0
Preattentive,7,243,7,Low,Colour_and_Size,44370,0
